longitude,latitude,mean_surface_temp
123.00,18.00,26.960000000000036
123.75,18.00,27.201999999999998
124.50,18.00,26.983000000000004
125.25,18.00,26.983000000000004
126.00,18.00,26.890000000000043
126.75,18.00,26.92100000000005
127.50,18.00,26.93300000000005
128.25,18.00,26.983000000000004
129.00,18.00,27.016999999999996
129.75,18.00,27.047000000000025
130.50,18.00,27.06600000000003
111.00,18.75,25.640000000000043
111.75,18.75,25.980000000000018
112.50,18.75,26.096000000000004
113.25,18.75,26.128000000000043
114.00,18.75,26.233000000000004
114.75,18.75,26.302999999999997
115.50,18.75,26.423000000000002
116.25,18.75,26.548000000000002
117.00,18.75,26.701999999999998
117.75,18.75,26.855999999999995
118.50,18.75,27.010000000000048
119.25,18.75,27.200000000000045
120.00,18.75,27.13100000000003
120.75,18.75,26.80200000000002
