,longitude,latitude
188,116.720276,20.7080550000001
189,,
190,119.444862,23.2212509990002
191,119.444862,23.221136001
192,119.444862,23.2209720000001
193,119.445801,23.2209720000001
194,119.446251,23.2209720000001
195,119.446251,23.2208940010001
196,119.446251,23.2206950000001
197,119.447350001,23.2206950000001
198,119.448196001,23.2206950000001
199,119.448196001,23.2205390010001
200,119.448196001,23.2204170010001
201,119.448303,23.2204170010001
202,119.448471001,23.2204170010001
203,119.448471001,23.219303
204,119.448303,23.219303
205,119.448196001,23.219303
206,119.448196001,23.2190280010001
207,119.447876,23.2190280010001
208,119.447876,23.2183230000001
209,119.447914,23.218193
210,119.447838001,23.218193
211,119.447639,23.218193
212,119.447639,23.2177140000002
213,119.447616999,23.2176440010002
214,119.447365,23.2176380010002
215,119.447365,23.2173629990002
