t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB)
0,1_0_9,8,2,2.41562e-12,2.57998,207.092,-207.092
0,1_0_9,8,3,9.59733e-12,-2.78005,201.101,-201.101
0,1_0_9,9,1,1.62941e-12,-2.81031,208.802,-208.802
0,1_0_9,9,2,4.15913e-12,2.66157,204.733,-204.733
0,1_0_9,9,3,2.55222e-11,-2.71135,196.854,-196.854
0,1_0_9,10,1,5.37731e-12,-2.73292,203.617,-203.617
0,1_0_9,10,2,3.83205e-12,2.74316,205.088,-205.088
0,1_0_9,10,3,8.64828e-14,-2.64264,221.553,-221.553
0,1_0_9,11,1,1.83616e-15,-2.65554,238.284,-238.284
0,1_0_9,11,2,1.52649e-15,2.82475,239.086,-239.086
0,1_0_9,11,3,1.2388e-14,0.567652,229.993,-229.993
0,1_0_9,12,1,6.73002e-15,-2.89063,232.643,-232.643
0,1_0_9,12,2,2.35454e-14,2.57332,227.204,-227.204
0,1_0_9,12,3,4.53954e-14,-2.74244,224.353,-224.353
0,1_0_9,13,1,5.11209e-15,-2.81325,233.837,-233.837
0,1_0_9,13,2,4.18388e-15,2.65491,234.707,-234.707
0,1_0_9,13,3,4.26255e-15,-2.67374,234.626,-234.626
0,1_0_9,14,1,8.68053e-14,-2.73586,221.537,-221.537
0,1_0_9,14,2,1.42588e-14,2.7365,229.382,-229.382
0,1_0_9,14,3,4.41089e-13,-2.60504,214.478,-214.478
0,1_0_9,15,1,3.3439e-13,-2.65847,215.68,-215.68
0,1_0_9,15,2,1.24736e-13,2.81809,219.963,-219.963
0,1_0_9,15,3,1.60589e-13,-2.53633,218.866,-218.866
0,1_0_9,16,1,7.48287e-13,-2.89357,212.182,-212.182
0,1_0_9,16,2,2.24262e-13,2.56666,217.415,-217.415
0,1_0_9,16,3,1.35134e-12,-2.70483,209.615,-209.615
0,1_0_9,17,1,9.33853e-13,-2.81618,211.22,-211.22
0,1_0_9,17,2,1.57986e-13,2.64824,218.937,-218.937
0,1_0_9,17,3,3.15135e-13,-2.63613,215.938,-215.938
0,1_0_9,18,1,3.03501e-13,-2.7388,216.101,-216.101
0,1_0_9,18,2,5.48942e-13,2.72983,213.528,-213.528
0,1_0_9,18,3,1.78071e-12,-2.56743,208.417,-208.417
1,3_0_24,0,1,3.04907e-12,1.01079,206.081,-206.081
1,3_0_24,0,2,1.8626e-12,-2.70727,208.222,-208.222
1,3_0_24,0,3,4.8296e-13,2.02562,214.084,-214.084
1,3_0_24,1,1,1.27734e-12,0.996784,209.86,-209.86
1,3_0_24,1,2,1.82073e-12,-2.71681,208.32,-208.32
1,3_0_24,1,3,6.91919e-13,2.00443,212.522,-212.522
1,3_0_24,2,1,5.21267e-13,0.991629,213.752,-213.752
1,3_0_24,2,2,1.46368e-13,-2.72635,219.268,-219.268
1,3_0_24,2,3,2.50821e-13,1.98323,216.929,-216.929
1,3_0_24,3,1,1.07251e-12,0.960646,210.619,-210.619
1,3_0_24,3,2,1.98326e-13,-2.73588,217.949,-217.949
1,3_0_24,3,3,1.57976e-14,1.96204,228.937,-228.937
1,3_0_24,4,1,4.68002e-14,1.07467,224.22,-224.22
1,3_0_24,4,2,9.61587e-13,-2.64396,211.093,-211.093
1,3_0_24,4,3,5.6975e-13,2.1109,213.366,-213.366
1,3_0_24,5,1,5.01667e-12,1.05283,203.919,-203.919
1,3_0_24,5,2,3.73185e-12,-2.6535,205.204,-205.204
1,3_0_24,5,3,9.81061e-13,2.0897,211.006,-211.006
1,3_0_24,6,1,3.75419e-12,1.03392,205.178,-205.178
1,3_0_24,6,2,3.09582e-12,-2.66304,206.015,-206.015
1,3_0_24,6,3,9.12507e-13,2.06851,211.32,-211.32
1,3_0_24,7,1,1.20642e-12,-2.21738,210.108,-210.108
1,3_0_24,7,2,9.39015e-10,0.469017,181.196,-181.196
1,3_0_24,7,3,4.00697e-15,2.04732,234.895,-234.895
1,3_0_24,8,1,1.12465e-13,-2.08738,220.413,-220.413
1,3_0_24,8,2,2.27036e-13,0.560941,217.362,-217.362
1,3_0_24,8,3,9.09701e-14,2.19617,221.334,-221.334
1,3_0_24,9,1,3.44705e-14,-2.10862,225.548,-225.548
1,3_0_24,9,2,2.92696e-13,0.551402,216.259,-216.259
1,3_0_24,9,3,8.65133e-15,2.17498,231.552,-231.552
1,3_0_24,10,1,1.01403e-13,1.14089,220.862,-220.862
1,3_0_24,10,2,3.9682e-15,-2.59973,234.937,-234.937
1,3_0_24,10,3,8.30315e-15,2.15379,231.73,-231.73
1,3_0_24,11,1,3.06106e-14,1.09816,226.064,-226.064
1,3_0_24,11,2,2.17776e-13,-2.60927,217.543,-217.543
1,3_0_24,11,3,2.80111e-14,2.13259,226.449,-226.449
1,3_0_24,12,1,2.17798e-13,1.20962,217.542,-217.542
1,3_0_24,12,2,2.16984e-13,-2.51734,217.558,-217.558
1,3_0_24,12,3,5.59034e-15,2.28145,233.448,-233.448
1,3_0_24,13,1,2.20252e-12,1.18674,207.494,-207.494
1,3_0_24,13,2,6.25077e-13,-2.52688,212.963,-212.963
1,3_0_24,13,3,5.75814e-14,2.26025,223.32,-223.32
1,3_0_24,14,1,3.07635e-12,1.1656,206.042,-206.042
1,3_0_24,14,2,2.22451e-12,-2.53642,207.45,-207.45
1,3_0_24,14,3,4.54529e-13,2.23906,214.347,-214.347
1,3_0_24,15,1,5.05856e-13,1.14466,213.882,-213.882
1,3_0_24,15,2,4.37272e-14,-2.54596,224.515,-224.515
1,3_0_24,15,3,2.57571e-13,2.21787,216.814,-216.814
1,3_0_24,16,1,2.59661e-12,1.2652,206.779,-206.779
1,3_0_24,16,2,9.20652e-13,-2.45404,211.282,-211.282
1,3_0_24,16,3,1.59566e-12,2.36672,208.893,-208.893
1,3_0_24,17,1,1.41899e-11,1.24477,199.403,-199.403
1,3_0_24,17,2,2.07288e-12,-2.46357,207.757,-207.757
1,3_0_24,17,3,2.5866e-12,2.34553,206.795,-206.795
1,3_0_24,18,1,1.75742e-10,1.22962,188.474,-188.474
1,3_0_24,18,2,4.97458e-11,-2.47311,193.955,-193.955
1,3_0_24,18,3,3.18212e-12,2.32434,205.896,-205.896
1,2_0_1,0,1,7.16796e-12,-0.146803,202.369,-202.369
1,2_0_1,0,2,1.44204e-12,2.24332,209.333,-209.333
1,2_0_1,0,3,3.03622e-11,0.393124,196.099,-196.099
1,2_0_1,1,1,2.18071e-12,-0.1631,207.537,-207.537
1,2_0_1,1,2,1.16209e-12,2.23798,210.27,-210.27
1,2_0_1,1,3,5.57744e-12,-2.77523,203.458,-203.458
1,2_0_1,2,1,7.24966e-12,-0.179398,202.32,-202.32
1,2_0_1,2,2,2.63871e-12,2.23264,206.709,-206.709
1,2_0_1,2,3,1.44787e-12,0.33966,209.315,-209.315
1,2_0_1,3,1,1.28566e-11,-0.195696,199.832,-199.832
1,2_0_1,3,2,1.75236e-12,2.2273,208.487,-208.487
1,2_0_1,3,3,5.35045e-12,0.312888,203.639,-203.639
1,2_0_1,4,1,2.93942e-09,-0.182483,176.24,-176.24
1,2_0_1,4,2,1.95216e-07,2.20282,158.018,-158.018
1,2_0_1,4,3,1.24959e-11,0.408063,199.955,-199.955
1,2_0_1,5,1,5.7949e-12,2.94281,203.292,-203.292
1,2_0_1,5,2,1.03398e-13,-0.944109,220.778,-220.778
1,2_0_1,5,3,4.73393e-11,0.381302,194.171,-194.171
1,2_0_1,6,1,2.51562e-14,-0.215079,226.916,-226.916
1,2_0_1,6,2,2.5423e-13,2.19214,216.871,-216.871
1,2_0_1,6,3,1.59182e-06,-2.78703,148.904,-148.904
1,2_0_1,7,1,9.94161e-13,-0.231376,210.948,-210.948
1,2_0_1,7,2,4.12973e-13,2.18681,214.764,-214.764
1,2_0_1,7,3,7.90405e-12,-2.81378,201.944,-201.944
1,2_0_1,8,1,2.18532e-12,-0.218163,207.528,-207.528
1,2_0_1,8,2,2.78895e-12,2.16233,206.468,-206.468
1,2_0_1,8,3,1.24602e-12,-2.71864,209.968,-209.968
1,2_0_1,9,1,4.46476e-12,-0.234461,204.425,-204.425
1,2_0_1,9,2,1.53816e-12,2.15699,209.053,-209.053
1,2_0_1,9,3,3.72308e-14,0.396249,225.214,-225.214
1,2_0_1,10,1,2.61478e-12,-0.250759,206.748,-206.748
1,2_0_1,10,2,6.8374e-12,2.15165,202.574,-202.574
1,2_0_1,10,3,3.9263e-12,0.369475,204.983,-204.983
1,2_0_1,11,1,6.68202e-12,-0.267056,202.674,-202.674
