t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB)
1,2_0_1,0,2,1.86259e-12,-2.48092,208.222,-208.222
1,2_0_1,0,3,4.8296e-13,2.33468,214.084,-214.084
1,2_0_1,1,1,4.29539e-12,1.18054,204.593,-204.593
1,2_0_1,1,2,2.48436e-12,-2.54423,206.971,-206.971
1,2_0_1,1,3,5.09857e-14,2.24941,223.848,-223.848
1,2_0_1,2,1,3.51324e-12,1.11508,205.466,-205.466
1,2_0_1,2,2,6.6824e-13,-2.60754,212.673,-212.673
1,2_0_1,2,3,2.13178e-13,2.16413,217.635,-217.635
1,2_0_1,3,1,2.62916e-12,1.05357,206.725,-206.725
1,2_0_1,3,2,6.31572e-12,-2.67085,202.919,-202.919
1,2_0_1,3,3,6.23426e-13,2.07886,212.975,-212.975
1,2_0_1,4,1,3.4308e-13,1.24704,215.569,-215.569
1,2_0_1,4,2,1.15021e-12,-2.49046,210.315,-210.315
1,2_0_1,4,3,1.89028e-13,2.31349,218.158,-218.158
1,2_0_1,5,1,7.20656e-13,1.17207,212.345,-212.345
1,2_0_1,5,2,6.63731e-13,-2.55377,212.703,-212.703
1,2_0_1,5,3,2.36376e-13,2.22821,217.187,-217.187
1,2_0_1,6,1,1.07358e-12,1.09854,210.614,-210.614
1,2_0_1,6,2,4.9482e-13,-2.61708,213.978,-213.978
1,2_0_1,6,3,2.00958e-13,2.14294,217.892,-217.892
1,2_0_1,7,1,4.94038e-13,1.02926,213.985,-213.985
1,2_0_1,7,2,5.13456e-13,-2.68038,213.818,-213.818
1,2_0_1,7,3,1.55651e-13,2.05766,219.001,-219.001
1,2_0_1,8,1,1.02435e-12,1.20742,210.818,-210.818
1,2_0_1,8,2,1.69681e-13,-2.5,218.626,-218.626
1,2_0_1,8,3,8.4695e-13,2.2923,211.644,-211.644
1,2_0_1,9,1,9.45706e-13,1.14181,211.165,-211.165
1,2_0_1,9,2,1.14191e-13,-2.56331,220.346,-220.346
1,2_0_1,9,3,5.94126e-13,2.20702,213.184,-213.184
1,2_0_1,10,1,3.66181e-12,1.07751,205.286,-205.286
1,2_0_1,10,2,4.98618e-12,-2.62661,203.945,-203.945
1,2_0_1,10,3,2.58301e-14,2.12174,226.802,-226.802
1,2_0_1,11,1,4.74814e-12,1.01555,204.158,-204.158
1,2_0_1,11,2,9.37957e-12,-2.68992,201.201,-201.201
1,2_0_1,11,3,6.58165e-13,2.03647,212.739,-212.739
1,2_0_1,12,1,2.38157e-13,1.24333,217.154,-217.154
1,2_0_1,12,2,9.16821e-14,-2.50954,221.3,-221.3
1,2_0_1,12,3,5.9995e-13,2.2711,213.142,-213.142
1,2_0_1,13,1,3.3208e-13,-2.05436,215.71,-215.71
1,2_0_1,13,2,2.30337e-14,0.568748,227.299,-227.299
1,2_0_1,13,3,1.46663e-14,2.18583,229.26,-229.26
1,2_0_1,14,1,1.33104e-14,1.21938,229.681,-229.681
1,2_0_1,14,2,9.2903e-15,0.50544,231.242,-231.242
1,2_0_1,14,3,1.07997e-14,2.10055,230.589,-230.589
1,2_0_1,15,1,6.05454e-13,1.01505,213.102,-213.102
1,2_0_1,15,2,1.20384e-13,-2.69946,220.117,-220.117
1,2_0_1,15,3,2.08482e-14,2.01528,227.732,-227.732
1,2_0_1,16,1,6.54568e-13,1.17717,212.763,-212.763
1,2_0_1,16,2,1.07771e-12,-2.51907,210.598,-210.598
1,2_0_1,16,3,1.861e-13,2.24991,218.225,-218.225
1,2_0_1,17,1,5.49884e-13,1.10706,213.52,-213.52
1,2_0_1,17,2,2.49265e-13,-2.58238,216.956,-216.956
1,2_0_1,17,3,6.63836e-13,2.16463,212.702,-212.702
1,2_0_1,18,1,3.91455e-12,1.03991,204.996,-204.996
1,2_0_1,18,2,1.80406e-12,-2.64569,208.36,-208.36
1,2_0_1,18,3,6.56259e-13,2.07936,212.752,-212.752
1,1_0_9,0,1,3.04907e-12,1.2496,206.081,-206.081
1,1_0_9,0,2,1.86259e-12,-2.48092,208.222,-208.222
1,1_0_9,0,3,4.8296e-13,2.33468,214.084,-214.084
1,1_0_9,1,1,4.29539e-12,1.18054,204.593,-204.593
1,1_0_9,1,2,2.48436e-12,-2.54423,206.971,-206.971
1,1_0_9,1,3,5.09857e-14,2.24941,223.848,-223.848
1,1_0_9,2,1,3.51324e-12,1.11508,205.466,-205.466
1,1_0_9,2,2,6.6824e-13,-2.60754,212.673,-212.673
1,1_0_9,2,3,2.13178e-13,2.16413,217.635,-217.635
1,1_0_9,3,1,2.62916e-12,1.05357,206.725,-206.725
1,1_0_9,3,2,6.31572e-12,-2.67085,202.919,-202.919
1,1_0_9,3,3,6.23426e-13,2.07886,212.975,-212.975
1,1_0_9,4,1,3.4308e-13,1.24704,215.569,-215.569
1,1_0_9,4,2,1.15021e-12,-2.49046,210.315,-210.315
1,1_0_9,4,3,1.89028e-13,2.31349,218.158,-218.158
1,1_0_9,5,1,7.20656e-13,1.17207,212.345,-212.345
1,1_0_9,5,2,6.63731e-13,-2.55377,212.703,-212.703
1,1_0_9,5,3,2.36376e-13,2.22821,217.187,-217.187
1,1_0_9,6,1,1.07358e-12,1.09854,210.614,-210.614
1,1_0_9,6,2,4.9482e-13,-2.61708,213.978,-213.978
1,1_0_9,6,3,2.00958e-13,2.14294,217.892,-217.892
1,1_0_9,7,1,4.94038e-13,1.02926,213.985,-213.985
1,1_0_9,7,2,5.13456e-13,-2.68038,213.818,-213.818
1,1_0_9,7,3,1.55651e-13,2.05766,219.001,-219.001
1,1_0_9,8,1,1.02435e-12,1.20742,210.818,-210.818
1,1_0_9,8,2,1.69681e-13,-2.5,218.626,-218.626
1,1_0_9,8,3,8.4695e-13,2.2923,211.644,-211.644
1,1_0_9,9,1,9.45706e-13,1.14181,211.165,-211.165
1,1_0_9,9,2,1.14191e-13,-2.56331,220.346,-220.346
1,1_0_9,9,3,5.94126e-13,2.20702,213.184,-213.184
1,1_0_9,10,1,3.66181e-12,1.07751,205.286,-205.286
1,1_0_9,10,2,4.98618e-12,-2.62661,203.945,-203.945
1,1_0_9,10,3,2.58301e-14,2.12174,226.802,-226.802
1,1_0_9,11,1,4.74814e-12,1.01555,204.158,-204.158
1,1_0_9,11,2,9.37957e-12,-2.68992,201.201,-201.201
1,1_0_9,11,3,6.58165e-13,2.03647,212.739,-212.739
1,1_0_9,12,1,2.38157e-13,1.24333,217.154,-217.154
1,1_0_9,12,2,9.16821e-14,-2.50954,221.3,-221.3
1,1_0_9,12,3,5.9995e-13,2.2711,213.142,-213.142
1,1_0_9,13,1,3.3208e-13,-2.05436,215.71,-215.71
1,1_0_9,13,2,2.30337e-14,0.568748,227.299,-227.299
1,1_0_9,13,3,1.46663e-14,2.18583,229.26,-229.26
1,1_0_9,14,1,1.33104e-14,1.21938,229.681,-229.681
1,1_0_9,14,2,9.2903e-15,0.50544,231.242,-231.242
1,1_0_9,14,3,1.07997e-14,2.10055,230.589,-230.589
1,1_0_9,15,1,6.05454e-13,1.01505,213.102,-213.102
1,1_0_9,15,2,1.20384e-13,-2.69946,220.117,-220.117
1,1_0_9,15,3,2.08482e-14,2.01528,227.732,-227.732
1,1_0_9,16,1,6.54568e-13,1.17717,212.763,-212.763
1,1_0_9,16,2,1.07771e-12,-2.51907,210.598,-210.598
1,1_0_9,16,3,1.861e-13,2.24991,218.225,-218.225
1,1_0_9,17,1,5.49884e-13,1.10706,213.52,-213.52
1,1_0_9,17,2,2.49265e-13,-2.58238,216.956,-216.956
1,1_0_9,17,3,6.63836e-13,2.16463,212.702,-212.702
1,1_0_9,18,1,3.91455e-12,1.03991,204.996,-204.996
1,1_0_9,18,2,1.80406e-12,-2.64569,208.36,-208.36
1,1_0_9,18,3,6.56259e-13,2.07936,212.752,-212.752
2,3_0_24,0,1,3.06121e-12,3.03071,206.064,-206.064
2,3_0_24,0,2,9.9721e-13,1.10383,210.935,-210.935
2,3_0_24,0,3,6.59411e-13,-2.49676,212.731,-212.731
2,3_0_24,1,1,2.74914e-12,2.96657,206.531,-206.531
2,3_0_24,1,2,1.96905e-12,1.04208,207.98,-207.98
2,3_0_24,1,3,2.42604e-14,-2.58134,227.074,-227.074
2,3_0_24,2,1,8.01225e-13,2.90243,211.885,-211.885
2,3_0_24,2,2,1.30557e-12,0.980324,209.765,-209.765
2,3_0_24,2,3,7.78234e-14,-2.66593,222.012,-222.012
2,3_0_24,3,1,2.93515e-12,2.83829,206.246,-206.246
2,3_0_24,3,2,3.54728e-12,0.918569,205.424,-205.424
2,3_0_24,3,3,3.67358e-13,-2.75052,215.272,-215.272
2,3_0_24,4,1,1.90457e-13,3.01229,218.125,-218.125
2,3_0_24,4,2,3.37211e-13,1.09466,215.644,-215.644
2,3_0_24,4,3,1.04809e-13,-2.51785,220.719,-220.719
2,3_0_24,5,1,7.03757e-13,2.94815,212.449,-212.449
2,3_0_24,5,2,3.99302e-13,1.0329,214.91,-214.91
2,3_0_24,5,3,3.22053e-13,-2.60244,215.843,-215.843
2,3_0_24,6,1,9.20479e-14,2.88401,221.283,-221.283
2,3_0_24,6,2,1.89267e-12,0.971146,208.152,-208.152
2,3_0_24,6,3,3.27501e-13,-2.68703,215.771,-215.771
2,3_0_24,7,1,6.37453e-13,2.81987,212.878,-212.878
2,3_0_24,7,2,1.12603e-12,0.909391,210.407,-210.407
2,3_0_24,7,3,2.23184e-13,-2.77162,217.436,-217.436
2,3_0_24,8,1,1.00731e-13,2.99386,220.891,-220.891
2,3_0_24,8,2,6.67816e-14,1.08548,222.676,-222.676
2,3_0_24,8,3,8.49392e-13,-2.53895,211.632,-211.632
2,3_0_24,9,1,3.09569e-14,2.92972,226.015,-226.015
2,3_0_24,9,2,2.58718e-13,1.02372,216.795,-216.795
2,3_0_24,9,3,8.46337e-13,-2.62354,211.647,-211.647
2,3_0_24,10,1,3.92156e-12,2.86559,204.988,-204.988
2,3_0_24,10,2,8.58454e-12,0.961968,201.586,-201.586
2,3_0_24,10,3,4.06435e-14,-2.70813,224.833,-224.833
2,3_0_24,11,1,3.16177e-12,2.80145,205.923,-205.923
2,3_0_24,11,2,6.50377e-12,0.900213,202.791,-202.791
2,3_0_24,11,3,8.25324e-13,-2.79271,211.757,-211.757
2,3_0_24,12,1,4.51535e-14,2.97544,224.376,-224.376
2,3_0_24,12,2,2.29333e-13,1.0763,217.318,-217.318
2,3_0_24,12,3,7.82849e-13,-2.56005,211.986,-211.986
2,3_0_24,13,1,3.48441e-13,-0.230291,215.501,-215.501
2,3_0_24,13,2,2.74918e-13,-2.12705,216.531,-216.531
2,3_0_24,13,3,8.91149e-15,-2.64464,231.423,-231.423
2,3_0_24,14,1,1.35621e-15,2.84716,239.599,-239.599
2,3_0_24,14,2,1.77914e-14,-2.1888,228.421,-228.421
2,3_0_24,14,3,2.61552e-14,-2.72922,226.747,-226.747
2,3_0_24,15,1,3.74789e-13,2.78302,215.185,-215.185
2,3_0_24,15,2,1.9236e-13,0.891035,218.082,-218.082
2,3_0_24,15,3,5.11483e-15,-2.81381,233.834,-233.834
