t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB)
1,3_0_24,6,1,1.7003e-13,1.16279,218.618,-218.618
1,3_0_24,6,2,2.89157e-12,-2.54952,206.311,-206.311
1,3_0_24,6,3,2.33315e-12,2.24213,207.243,-207.243
1,3_0_24,7,1,5.03857e-12,1.17088,203.9,-203.9
1,3_0_24,7,2,1.20139e-13,-2.53994,220.126,-220.126
1,3_0_24,7,3,5.61621e-12,2.26338,203.428,-203.428
1,3_0_24,8,1,1.47931e-10,1.07489,189.222,-189.222
1,3_0_24,8,2,8.10369e-12,-2.60933,201.836,-201.836
1,3_0_24,8,3,4.1795e-13,2.1325,214.712,-214.712
1,3_0_24,9,1,9.11928e-09,1.09979,171.323,-171.323
1,3_0_24,9,2,2.07326e-09,-2.59975,177.756,-177.756
1,3_0_24,9,3,2.11506e-13,2.15376,217.67,-217.67
1,3_0_24,10,1,3.8033e-13,1.15017,215.121,-215.121
1,3_0_24,10,2,8.31667e-13,-2.59017,211.723,-211.723
1,3_0_24,10,3,8.18764e-13,2.17501,211.791,-211.791
1,3_0_24,11,1,3.73828e-16,2.03216,245.196,-245.196
1,3_0_24,11,2,8.11124e-15,0.561005,231.832,-231.832
1,3_0_24,11,3,7.6155e-14,2.19626,222.106,-222.106
1,3_0_24,12,1,8.43388e-14,1.09608,221.662,-221.662
1,3_0_24,12,2,3.01184e-15,-2.64998,236.134,-236.134
1,3_0_24,12,3,8.61194e-15,2.06538,231.572,-231.572
1,3_0_24,13,1,8.12694e-15,1.08269,231.824,-231.824
1,3_0_24,13,2,1.11713e-13,-2.6404,220.442,-220.442
1,3_0_24,13,3,2.66408e-14,2.08663,226.667,-226.667
1,3_0_24,14,1,1.24172e-12,1.08649,209.983,-209.983
1,3_0_24,14,2,4.89984e-14,-2.63082,224.021,-224.021
1,3_0_24,14,3,3.66476e-14,2.10788,225.282,-225.282
1,3_0_24,15,1,2.60336e-12,1.09925,206.767,-206.767
1,3_0_24,15,2,9.79423e-13,-2.62124,211.013,-211.013
1,3_0_24,15,3,6.1609e-13,2.12914,213.026,-213.026
1,3_0_24,16,1,8.09337e-12,0.996175,201.841,-201.841
1,3_0_24,16,2,4.72148e-12,-2.69063,204.182,-204.182
1,3_0_24,16,3,3.06441e-13,1.99826,216.059,-216.059
1,3_0_24,17,1,3.25389e-12,1.01056,205.799,-205.799
1,3_0_24,17,2,7.52207e-13,-2.68105,212.159,-212.159
1,3_0_24,17,3,7.19883e-13,2.01951,212.35,-212.35
1,3_0_24,18,1,1.07045e-11,1.02614,200.627,-200.627
1,3_0_24,18,2,1.32874e-11,-2.67147,199.688,-199.688
1,3_0_24,18,3,8.7749e-13,2.04076,211.49,-211.49
1,2_0_1,0,1,5.71588e-12,1.17563,203.352,-203.352
1,2_0_1,0,2,8.20375e-14,-2.52803,221.783,-221.783
1,2_0_1,0,3,3.06121e-13,2.26675,216.064,-216.064
1,2_0_1,1,1,1.03424e-11,1.18537,200.777,-200.777
1,2_0_1,1,2,1.10821e-11,-2.51845,200.477,-200.477
1,2_0_1,1,3,6.35902e-13,2.288,212.889,-212.889
1,2_0_1,2,1,5.21845e-12,1.21117,203.747,-203.747
1,2_0_1,2,2,6.40601e-11,-2.50887,192.857,-192.857
1,2_0_1,2,3,9.00444e-13,2.30926,211.378,-211.378
1,2_0_1,3,1,6.23836e-13,1.24902,212.972,-212.972
1,2_0_1,3,2,6.76285e-13,-2.49929,212.621,-212.621
1,2_0_1,3,3,2.60117e-13,2.33051,216.771,-216.771
1,2_0_1,4,1,2.10123e-13,1.14131,217.698,-217.698
1,2_0_1,4,2,8.4155e-13,-2.56868,211.672,-211.672
1,2_0_1,4,3,4.96335e-14,2.19963,223.965,-223.965
1,2_0_1,5,1,3.47211e-12,1.15004,205.517,-205.517
1,2_0_1,5,2,1.16034e-12,-2.5591,210.277,-210.277
1,2_0_1,5,3,6.64085e-13,2.22088,212.701,-212.701
1,2_0_1,6,1,1.7003e-13,1.16279,218.618,-218.618
1,2_0_1,6,2,2.89157e-12,-2.54952,206.311,-206.311
1,2_0_1,6,3,2.33315e-12,2.24213,207.243,-207.243
1,2_0_1,7,1,5.03857e-12,1.17088,203.9,-203.9
1,2_0_1,7,2,1.20139e-13,-2.53994,220.126,-220.126
1,2_0_1,7,3,5.61621e-12,2.26338,203.428,-203.428
1,2_0_1,8,1,1.47931e-10,1.07489,189.222,-189.222
1,2_0_1,8,2,8.10369e-12,-2.60933,201.836,-201.836
1,2_0_1,8,3,4.1795e-13,2.1325,214.712,-214.712
1,2_0_1,9,1,9.11928e-09,1.09979,171.323,-171.323
1,2_0_1,9,2,2.07326e-09,-2.59975,177.756,-177.756
1,2_0_1,9,3,2.11506e-13,2.15376,217.67,-217.67
1,2_0_1,10,1,3.8033e-13,1.15017,215.121,-215.121
1,2_0_1,10,2,8.31667e-13,-2.59017,211.723,-211.723
1,2_0_1,10,3,8.18764e-13,2.17501,211.791,-211.791
1,2_0_1,11,1,3.73828e-16,2.03216,245.196,-245.196
1,2_0_1,11,2,8.11124e-15,0.561005,231.832,-231.832
1,2_0_1,11,3,7.6155e-14,2.19626,222.106,-222.106
1,2_0_1,12,1,8.43388e-14,1.09608,221.662,-221.662
1,2_0_1,12,2,3.01184e-15,-2.64998,236.134,-236.134
