t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB),h_r,h_i
0,3_0_24,14,1,1.19032e-12,2.95736,210.166,-210.166,-4.67516e-07,-8.71177e-08
0,3_0_24,14,2,1.03176e-12,0.182738,210.787,-210.787,4.35387e-07,-8.04592e-08
0,3_0_24,14,3,7.58318e-14,-2.7064,222.124,-222.124,-1.08845e-07,5.0604e-08
0,3_0_24,14,4,1.1064e-13,-0.479592,220.484,-220.484,1.28631e-07,6.69002e-08
0,3_0_24,14,5,8.16979e-13,-2.39084,211.801,-211.801,-2.88074e-07,2.68774e-07
0,3_0_24,14,6,8.59398e-13,2.97921,211.581,-211.581,-3.9877e-07,-6.53291e-08
0,3_0_24,15,1,2.10232e-13,2.94988,217.696,-217.696,-1.96198e-07,-3.80824e-08
0,3_0_24,15,2,6.94877e-14,0.166865,222.504,-222.504,1.13307e-07,-1.90844e-08
0,3_0_24,15,3,5.3701e-13,-2.73422,213.623,-213.623,-2.93285e-07,1.26554e-07
0,3_0_24,15,4,1.34843e-12,-0.505366,209.624,-209.624,4.42891e-07,2.45047e-07
0,3_0_24,15,5,3.94355e-13,-2.39979,214.964,-214.964,-2.01807e-07,1.84937e-07
0,3_0_24,15,6,1.00625e-12,2.96925,210.896,-210.896,-4.30772e-07,-7.4986e-08
0,3_0_24,16,1,1.83931e-12,3.05012,208.276,-208.276,-5.88689e-07,-5.39966e-08
0,3_0_24,16,2,1.70077e-12,0.296043,208.616,-208.616,5.43731e-07,-1.65841e-07
0,3_0_24,16,3,4.79462e-13,-2.56236,214.115,-214.115,-2.52592e-07,1.65213e-07
0,3_0_24,16,4,2.70524e-12,-0.355388,206.601,-206.601,6.72135e-07,2.4946e-07
0,3_0_24,16,5,1.4603e-12,-2.29005,209.278,-209.278,-3.47029e-07,3.96268e-07
0,3_0_24,16,6,1.42665e-13,3.0748,219.38,-219.38,-1.64273e-07,-1.09878e-08
0,3_0_24,17,1,2.11504e-12,3.04264,207.67,-207.67,-6.30821e-07,-6.26284e-08
0,3_0_24,17,2,1.22548e-12,0.28017,210.04,-210.04,4.63722e-07,-1.33431e-07
0,3_0_24,17,3,1.6446e-12,-2.59017,208.762,-208.762,-4.76141e-07,2.92856e-07
0,3_0_24,17,4,3.24904e-12,-0.381162,205.805,-205.805,7.29308e-07,2.92278e-07
0,3_0_24,17,5,2.96566e-12,-2.29899,206.202,-206.202,-4.99577e-07,5.60267e-07
0,3_0_24,17,6,1.94259e-12,3.06484,208.039,-208.039,-6.05741e-07,-4.65824e-08
0,3_0_24,18,1,1.65815e-12,3.03515,208.727,-208.727,-5.58115e-07,-5.96341e-08
0,3_0_24,18,2,7.90936e-13,0.264298,211.941,-211.941,3.74196e-07,-1.01268e-07
0,3_0_24,18,3,8.69834e-13,-2.618,211.528,-211.528,-3.52068e-07,2.03264e-07
0,3_0_24,18,4,6.82431e-12,-0.406936,202.582,-202.582,1.0457e-06,4.50691e-07
0,3_0_24,18,5,6.18559e-12,-2.30794,203.009,-203.009,-7.28702e-07,8.02655e-07
0,3_0_24,18,6,8.93397e-12,3.05488,201.412,-201.412,-1.29797e-06,-1.12834e-07
0,2_0_1,0,1,4.10082e-10,1.01467,184.794,-184.794,4.65974e-06,-7.49683e-06
0,2_0_1,0,2,2.83876e-10,2.49098,186.391,-186.391,-5.84383e-06,-4.44814e-06
0,2_0_1,0,3,6.17969e-12,-0.362921,203.013,-203.013,1.013e-06,3.84677e-07
0,2_0_1,0,4,9.21152e-12,-2.48771,201.279,-201.279,-1.05006e-06,8.04712e-07
0,2_0_1,0,5,1.58547e-07,-0.512038,158.921,-158.921,0.000151303,8.50378e-05
0,2_0_1,0,6,7.00786e-11,-0.479014,192.467,-192.467,3.23827e-06,1.68182e-06
0,2_0_1,1,1,2.68785e-12,1.00944,206.629,-206.629,3.80421e-07,-6.04955e-07
0,2_0_1,1,2,4.75661e-16,-0.668729,244.15,-244.15,7.45898e-09,5.89399e-09
0,2_0_1,1,3,2.39016e-15,-0.376825,237.138,-237.138,1.98152e-08,7.84156e-09
0,2_0_1,1,4,3.89685e-13,-2.51589,215.016,-215.016,-2.20553e-07,1.59362e-07
0,2_0_1,1,5,1.0581e-12,2.62132,210.678,-210.678,-3.89046e-07,-2.22894e-07
0,2_0_1,1,6,2.75855e-12,-0.487201,206.516,-206.516,6.39729e-07,3.38928e-07
0,2_0_1,2,1,1.61802e-11,1.00419,198.833,-198.833,9.4115e-07,-1.47935e-06
0,2_0_1,2,2,2.67514e-12,2.45506,206.649,-206.649,-5.51419e-07,-4.519e-07
0,2_0_1,2,3,8.83367e-13,-0.441331,211.461,-211.461,3.70428e-07,1.74993e-07
0,2_0_1,2,4,5.50824e-12,-2.54406,203.513,-203.513,-8.45755e-07,5.75555e-07
0,2_0_1,2,5,4.89573e-13,-0.528432,214.025,-214.025,2.63389e-07,1.5377e-07
0,2_0_1,2,6,3.05105e-12,-0.495386,206.078,-206.078,6.69851e-07,3.61938e-07
0,2_0_1,3,1,7.46867e-12,0.999091,202.19,-202.19,6.44539e-07,-1.00181e-06
0,2_0_1,3,2,1.59628e-11,2.4371,198.892,-198.892,-1.32694e-06,-1.1279e-06
0,2_0_1,3,3,2.9837e-12,-0.481046,206.175,-206.175,6.67481e-07,3.48386e-07
0,2_0_1,3,4,1.31061e-11,-2.57215,199.748,-199.748,-1.32902e-06,8.50814e-07
0,2_0_1,3,5,1.69488e-11,-0.536489,198.631,-198.631,1.5424e-06,9.17213e-07
0,2_0_1,3,6,1.67159e-11,-0.503571,198.691,-198.691,1.56091e-06,8.59982e-07
0,2_0_1,4,1,1.0861e-10,-2.14417,190.564,-190.564,-2.46428e-06,3.81619e-06
0,2_0_1,4,2,9.85643e-12,2.4855,200.986,-200.986,-1.08436e-06,-8.34802e-07
