t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB),h_r,h_i
0,2_0_1,10,2,2.61068e-12,3.01813,206.755,-206.755,-6.98932e-07,-8.67304e-08
0,2_0_1,10,3,1.36787e-12,2.71448,209.562,-209.562,-4.64002e-07,-2.11182e-07
0,2_0_1,11,1,7.80381e-12,-3.01412,202,-202,-1.20779e-06,1.54799e-07
0,2_0_1,11,2,5.99581e-12,3.0105,203.144,-203.144,-1.05818e-06,-1.39519e-07
0,2_0_1,11,3,1.82204e-12,2.6847,208.317,-208.317,-5.28026e-07,-2.59568e-07
0,2_0_1,12,1,8.08569e-12,-2.99619,201.846,-201.846,-1.22639e-06,1.79592e-07
0,2_0_1,12,2,4.00416e-12,2.99091,204.898,-204.898,-8.6235e-07,-1.30932e-07
0,2_0_1,12,3,6.77874e-12,2.7843,202.611,-202.611,-1.06321e-06,-3.96908e-07
0,2_0_1,13,1,1.14837e-12,-3.01526,210.322,-210.322,-4.63385e-07,5.88519e-08
0,2_0_1,13,2,6.61478e-12,-0.158314,202.718,-202.718,1.10705e-06,1.76742e-07
0,2_0_1,13,3,2.26712e-12,2.75497,207.368,-207.368,-6.07874e-07,-2.47472e-07
0,2_0_1,14,1,4.32687e-08,0.108425,164.561,-164.561,9.01376e-05,-9.81167e-06
0,2_0_1,14,2,1.12843e-10,-0.165948,190.398,-190.398,4.56674e-06,7.64878e-07
0,2_0_1,14,3,1.1269e-11,2.72579,200.404,-200.404,-1.33857e-06,-5.91036e-07
0,2_0_1,15,1,5.92819e-12,0.0896598,203.194,-203.194,1.05704e-06,-9.50285e-08
0,2_0_1,15,2,5.21681e-12,-0.173582,203.749,-203.749,9.80626e-07,1.7195e-07
0,2_0_1,15,3,5.27858e-12,2.69593,203.698,-203.698,-9.03647e-07,-4.31685e-07
0,2_0_1,16,1,1.59412e-12,0.10732,208.898,-208.898,5.47181e-07,-5.89501e-08
0,2_0_1,16,2,2.90183e-13,-0.19317,216.296,-216.296,2.30441e-07,4.50764e-08
0,2_0_1,16,3,2.49538e-14,2.78739,226.951,-226.951,-6.4582e-08,-2.38827e-08
0,2_0_1,17,1,7.31024e-14,0.0881414,222.283,-222.283,1.17396e-07,-1.03743e-08
0,2_0_1,17,2,7.09171e-19,-0.200804,272.415,-272.415,3.59697e-10,7.32154e-11
0,2_0_1,17,3,1.21005e-11,-0.373889,200.095,-200.095,1.41152e-06,5.53802e-07
0,2_0_1,18,1,1.64177e-13,-3.06989,218.77,-218.77,-1.76164e-07,1.26526e-08
0,2_0_1,18,2,2.34706e-13,2.93315,217.218,-217.218,-2.06602e-07,-4.36985e-08
0,2_0_1,18,3,6.71731e-12,-0.403715,202.651,-202.651,1.03891e-06,4.438e-07
0,1_0_9,0,1,2.40173e-13,0.694531,217.118,-217.118,1.64135e-07,-1.36721e-07
0,1_0_9,0,2,8.00952e-13,0.836269,211.887,-211.887,2.61462e-07,-2.89515e-07
0,1_0_9,0,3,5.98365e-14,2.9531,223.153,-223.153,-1.04737e-07,-1.99798e-08
0,1_0_9,1,1,1.64834e-12,0.774101,208.752,-208.752,4.00163e-07,-3.91222e-07
0,1_0_9,1,2,1.01557e-12,0.919719,210.856,-210.856,2.66217e-07,-3.4941e-07
0,1_0_9,1,3,5.01539e-13,3.02434,213.92,-213.92,-3.06575e-07,-3.61125e-08
0,1_0_9,2,1,3.50416e-12,0.853671,205.477,-205.477,5.36265e-07,-6.14987e-07
0,1_0_9,2,2,1.36687e-12,1.00317,209.565,-209.565,2.73985e-07,-4.29695e-07
0,1_0_9,2,3,8.88971e-13,3.09558,211.434,-211.434,-4.10545e-07,-1.8902e-08
0,1_0_9,3,1,1.30944e-12,0.933241,209.752,-209.752,2.96898e-07,-4.00807e-07
0,1_0_9,3,2,3.81274e-13,1.08662,215.11,-215.11,1.25284e-07,-2.38214e-07
0,1_0_9,3,3,1.89162e-13,-3.11636,218.154,-218.154,-1.8952e-07,4.78367e-09
0,1_0_9,4,1,8.25928e-14,0.69187,221.753,-221.753,9.64648e-08,-7.99197e-08
0,1_0_9,4,2,2.98974e-13,0.829968,216.166,-216.166,1.60854e-07,-1.75872e-07
0,1_0_9,4,3,1.00393e-13,2.99001,220.906,-220.906,-1.36528e-07,-2.08556e-08
0,1_0_9,5,1,3.70237e-13,0.771441,215.238,-215.238,1.90143e-07,-1.84907e-07
0,1_0_9,5,2,2.97905e-14,0.913418,226.182,-226.182,4.59714e-08,-5.95552e-08
0,1_0_9,5,3,8.52968e-14,3.06125,221.613,-221.613,-1.26894e-07,-1.02168e-08
0,1_0_9,6,1,6.41402e-13,0.851011,212.851,-212.851,2.30131e-07,-2.625e-07
0,1_0_9,6,2,3.16449e-14,0.996868,225.92,-225.92,4.20995e-08,-6.51166e-08
0,1_0_9,6,3,1.09404e-12,3.1325,210.532,-210.532,-4.55905e-07,-4.1474e-09
0,1_0_9,7,1,1.21708e-14,0.930581,230.07,-230.07,2.87262e-08,-3.8565e-08
0,1_0_9,7,2,1.62538e-12,1.08032,208.813,-208.813,2.6177e-07,-4.90203e-07
0,1_0_9,7,3,6.02021e-13,-3.07945,213.127,-213.127,-3.37554e-07,2.10052e-08
0,1_0_9,8,1,1.17688e-12,0.68921,210.215,-210.215,3.64937e-07,-3.00712e-07
0,1_0_9,8,2,3.12937e-12,0.823667,205.968,-205.968,5.23984e-07,-5.65705e-07
0,1_0_9,8,3,5.35927e-12,3.02692,203.632,-203.632,-1.00246e-06,-1.15462e-07
0,1_0_9,9,1,7.24495e-12,0.76878,202.322,-202.322,8.43292e-07,-8.1572e-07
0,1_0_9,9,2,2.09484e-12,0.907117,207.711,-207.711,3.88639e-07,-4.9697e-07
0,1_0_9,9,3,2.30158e-12,3.09816,207.303,-207.303,-6.60663e-07,-2.87102e-08
0,1_0_9,10,1,3.29321e-12,0.84835,205.747,-205.747,5.23039e-07,-5.93415e-07
0,1_0_9,10,2,4.73541e-12,0.990567,204.169,-204.169,5.20005e-07,-7.93299e-07
0,1_0_9,10,3,3.14286e-13,-3.11378,215.95,-215.95,-2.44271e-07,6.79616e-09
0,1_0_9,11,1,4.20204e-16,0.92792,244.688,-244.688,5.35669e-09,-7.15156e-09
